,org,person,count,keywords,files
0,Baylor University PO Box,John D. Martin Carr P. Collins,9,"enron, plan, finance, papers, document, draft, risk, paper, enron_paper_1_11_01, guidance","{'18564', '13542', '27174', '24943', '742', '16420', '34202', '8723', '16210'}"
1,Waco,John D. Martin Carr P. Collins,9,"enron, plan, finance, papers, document, draft, risk, paper, enron_paper_1_11_01, guidance","{'18564', '13542', '27174', '24943', '742', '16420', '34202', '8723', '16210'}"
2,Transwestern Commercial Group,Michelle Lokay,3,"lokay, transwestern, dralion, tickets, commercial, thursday, january, calendars, pm, dinner","{'11221', '30541', '4042'}"
3,Amazon,God,3,"day, spend, coupons, givingpool, donate, holiday, holidays, feed, helping, zthing","{'39654', '30236', '30264'}"
4,EMAZING,God,3,"day, spend, coupons, givingpool, donate, holiday, holidays, feed, helping, zthing","{'39654', '30236', '30264'}"
5,INC,God,3,"day, spend, coupons, givingpool, donate, holiday, holidays, feed, helping, zthing","{'39654', '30236', '30264'}"
6,Houston Ballet,Karen Dacko,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
7,Houston Ballet,Frederic Franklin,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
8,Houston Ballet,Peter Farmer,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
9,Houston Ballet,Anne Heaton,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
10,Houston Ballet,Desmond Heeley,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
11,Houston Ballet,Carl Cunningham,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
12,Houston Ballet,Heeley,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
13,The Houston Post,Karen Dacko,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
14,The Houston Post,Frederic Franklin,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
15,The Houston Post,Peter Farmer,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
16,The Houston Post,Anne Heaton,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
17,The Houston Post,Desmond Heeley,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
18,The Houston Post,Carl Cunningham,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
19,The Houston Post,Heeley,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
20,Houston Post,Karen Dacko,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
21,Houston Post,Frederic Franklin,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
22,Houston Post,Peter Farmer,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
23,Houston Post,Anne Heaton,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
24,Houston Post,Desmond Heeley,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
25,Houston Post,Carl Cunningham,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
26,Houston Post,Heeley,3,"ballet, ballerina, houston, theater, choreography, theatre, dancers, tickets, copp, stage","{'26084', '6496', '38301'}"
27,Enron North America Corp,Joanne Rozycki,3,"enron, document, corp, administrative, tx, email, department, power, water, houston","{'41703', '22230', '41622'}"
28,Congress,David Grant,3,"subpoenas, grant, documents, cooperate, congress, sec, department, david, assistance, company","{'35540', '32795', '2480'}"
29,SEC,David Grant,3,"subpoenas, grant, documents, cooperate, congress, sec, department, david, assistance, company","{'35540', '32795', '2480'}"
30,Department of Justice,David Grant,3,"subpoenas, grant, documents, cooperate, congress, sec, department, david, assistance, company","{'35540', '32795', '2480'}"
31,HRN  Advertising,Michael Stover,2,"hoteldiscounts, hotel, hotelresnetwork, discounts, vegas, las, specials, villas, rentals, coupons","{'26942', '35945'}"
32,HRN,Michael Stover,2,"hoteldiscounts, hotel, hotelresnetwork, discounts, vegas, las, specials, villas, rentals, coupons","{'26942', '35945'}"
33,ENA,Laura,2,"russell, documents, ena, transaction, laura, deal, october, 9th, simplified, sent","{'41260', '21403'}"
34,ENA,Russell,2,"russell, documents, ena, transaction, laura, deal, october, 9th, simplified, sent","{'41260', '21403'}"
35,Astros,Mark McGuire,2,"astros, tickets, washington, mcguire, louis, friday, dc, tomorrow, wednesday, st","{'2879', '31189'}"
36,Rice   University,Vince,2,"books, copies, arrive, invoice, shipped, mail, purchased, rice, customs, sell","{'29473', '5063'}"
37,Rice   University,Rice,2,"books, copies, arrive, invoice, shipped, mail, purchased, rice, customs, sell","{'29473', '5063'}"
38,Rice   University,Julie,2,"books, copies, arrive, invoice, shipped, mail, purchased, rice, customs, sell","{'29473', '5063'}"
39,PJM,Molly Lynch,2,"pjm, payment, invoice, overdue, transfered, confirming, received, receive, breach, wired","{'49964', '9018'}"
40,PJM,Lisa Drauschak,2,"pjm, payment, invoice, overdue, transfered, confirming, received, receive, breach, wired","{'49964', '9018'}"
41,PJM,Suzanne Daugherty,2,"pjm, payment, invoice, overdue, transfered, confirming, received, receive, breach, wired","{'49964', '9018'}"
42,Blazer,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
43,Enron NA,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
44,Chicago Bulls,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
45,Phoenix Suns,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
46,Seattle Supersonics,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
47,Minnesota Timberwolves,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
48,Boston Celtics,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
49,Denver Nuggets,Ryan Langan,2,"blazers, blazer, tickets, bulls, ticket, timberwolves, suns, seats, specials, arena","{'46787', '27865'}"
50,The Sporting News,Anna!,2,"fantasy, sportsline, td, discount, leagues, coupon, reschedule, tds, te, roster","{'17990', '11415'}"
51,The Sporting News,RuYd,2,"fantasy, sportsline, td, discount, leagues, coupon, reschedule, tds, te, roster","{'17990', '11415'}"
52,The Sporting News,ReYd,2,"fantasy, sportsline, td, discount, leagues, coupon, reschedule, tds, te, roster","{'17990', '11415'}"
53,The Sporting News,Olandis Gary,2,"fantasy, sportsline, td, discount, leagues, coupon, reschedule, tds, te, roster","{'17990', '11415'}"
54,The Sporting News,Karon Coleman,2,"fantasy, sportsline, td, discount, leagues, coupon, reschedule, tds, te, roster","{'17990', '11415'}"
